script_id,imdb_id,title,year,gross
7440,tt0112740,Crimson Tide,1995,182
7261,tt0094919,Critters 2,1988,8
2083,tt0159382,Croupier,1998,11
2091,tt0139134,Cruel Intentions,1999,65
2095,tt0123755,Cube,1997,0
6540,tt0085382,Cujo,1983,58
6612,tt0101635,Curly Sue,1991,69
8277,tt0257516,Cursed,2005,26
7623,tt1336617,Cyrus,2010,8
8234,tt1528854,Daddy's Home,2015,147
4065,tt0790636,Dallas Buyers Club,2013,29
2100,tt0099348,Dances with Wolves,1990,378
5396,tt1772288,Danny Collins,2015,5
2101,tt0118929,Dark City,1998,26
2108,tt0069945,Dark Star,1974,
2112,tt1279935,Date Night,2010,108
4078,tt0106673,Dave,1993,133
844,tt0088993,Day of the Dead,1985,
4087,tt0433362,Daybreakers,2009,34
848,tt0077405,Days of Heaven,1978,
7383,tt0099371,Days of Thunder,1990,170
8809,tt0106677,Dazed and Confused,1993,16
7549,tt0101669,Dead Again,1991,78
2126,tt0097165,Dead Poets Society,1989,210
7215,tt0094964,Dead Ringers,1988,19
5397,tt2235108,Dear White People,2014,4
2130,tt1321509,Death at a Funeral,2010,47
7342,tt0104070,Death Becomes Her,1992,122
850,tt0266452,Death to Smoochy,2002,12
7870,tt0101694,Deceived,1991,59
851,tt0800240,Deception,2008,5
6709,tt0118954,Deconstructing Harry,1997,20
852,tt0104073,Deep Cover,1992,34
2139,tt0118956,Deep Rising,1998,20
8274,tt0101698,Defending Your Life,1991,33
855,tt1034303,Defiance,2008,34
7386,tt0453467,Deja Vu,2006,85
7325,tt2377322,Deliver Us from Evil,2014,32
4101,tt0068473,Deliverance,1972,
8282,tt2387559,Delivery Man,2013,32
7880,tt0106697,Demolition Man,1993,122
4105,tt1323594,Despicable Me,2010,277
2148,tt1690953,Despicable Me 2,2013,393
2150,tt0165710,Detroit Rock City,1999,7
2152,tt0112857,Devil in a Blue Dress,1995,32
8513,tt0116095,Diabolique,1996,33
2154,tt0095016,Die Hard,1988,172
2156,tt0099423,Die Hard 2,1990,242
7818,tt0112864,Die Hard: With a Vengeance,1995,200
2158,tt0083833,Diner,1982,41
4115,tt0427152,Dinner for Schmucks,2010,80
863,tt0486822,Disturbia,2007,101
861,tt0097216,Do the Right Thing,1989,60
864,tt0072890,Dog Day Afternoon,1975,
2172,tt0120655,Dogma,1999,52
7050,tt0109642,Dolores Claiborne,1995,48
4121,tt0421054,Domino,2005,13
866,tt0119008,Donnie Brasco,1997,79
2177,tt0246578,Donnie Darko,2001,1
8826,tt0419706,Doom,2005,38
7696,tt0483607,Doomsday,2008,13
8056,tt3850214,Dope,2015,18
869,tt0036775,Double Indemnity,1944,
8827,tt0918927,Doubt,2008,40
8220,tt0090966,Down and Out in Beverly Hills,1986,145
8239,tt0033553,Dr. Jekyll and Mr. Hyde,1941,
6105,tt0103874,Dracula,1992,172
6106,tt0219653,Dracula 2000,2000,53
6266,tt0829150,Dracula Untold,2014,59
2182,tt1127180,Drag Me to Hell,2009,48
868,tt0082288,Dragonslayer,1981,18
6552,tt0285531,Dreamcatcher,2003,48
